city,encoding_value
昆明,16.789985590778098
曲靖,16.08355342136855
玉溪,17.529178674351584
保山,17.572046109510087
昭通,13.914285714285715
丽江,14.33421368547419
普洱,20.247657938986308
临沧,18.654058597502402
楚雄,17.594117647058823
红河,22.197766570605186
文山,19.37202881152461
西双版纳,24.61717760324297
大理,16.102400960384152
德宏,20.07913064361191
怒江,18.91968787515006
迪庆,7.447730398899587
